scheduler,hybrid,P,rep,bw_mbps,path_lo_bytes,path_hi_bytes,tcp_flows_total,status
minrtt,off,1,1,208.8,2857488,527642992,0,1PATH
minrtt,off,1,2,263.6,8460258,642197396,0,1PATH
minrtt,off,1,3,259.3,7089582,633177036,0,1PATH
minrtt,off,2,1,262.7,23056868,646149909,0,1PATH
minrtt,off,2,2,264.2,15217097,651200450,0,1PATH
minrtt,off,2,3,261.5,16829358,643626094,0,1PATH
minrtt,off,4,1,265.2,17722788,653328105,0,1PATH
minrtt,off,4,2,264.3,29675136,651634747,0,1PATH
minrtt,off,4,3,265.8,15946436,653279875,0,1PATH
minrtt,off,8,1,267.3,19615290,658231853,0,1PATH
minrtt,off,8,2,267.6,17490746,657653604,0,1PATH
minrtt,off,8,3,268.0,18717278,659716717,0,1PATH
minrtt,off,16,1,280.1,36033612,673051412,0,OK
minrtt,off,16,2,274.5,29703722,665194611,0,1PATH
minrtt,off,16,3,269.8,34052834,664367405,0,1PATH
minrtt,on,1,1,320.3,173232045,580805857,2,OK
minrtt,on,1,2,327.0,174963574,596121990,2,OK
minrtt,on,1,3,339.0,174709622,619085230,2,OK
minrtt,on,2,1,354.4,178236126,662882123,3,OK
minrtt,on,2,2,356.3,177760717,667213079,3,OK
minrtt,on,2,3,355.9,176904850,666364389,3,OK
minrtt,on,4,1,354.4,178060791,667821254,5,OK
minrtt,on,4,2,354.9,178619612,670554979,5,OK
minrtt,on,4,3,348.7,177898137,656758377,5,OK
minrtt,on,8,1,356.7,179426549,673155775,9,OK
minrtt,on,8,2,357.6,178990315,671996867,9,OK
minrtt,on,8,3,355.7,178821605,671843414,9,OK
minrtt,on,16,1,354.8,180692477,674132134,17,OK
minrtt,on,16,2,356.6,180644780,677458547,17,OK
minrtt,on,16,3,353.0,179792771,670472010,17,OK
wlb,off,1,1,270.8,28111928,633681740,0,1PATH
wlb,off,1,2,273.1,32380151,631152603,0,1PATH
wlb,off,1,3,237.8,29134337,567533506,0,1PATH
wlb,off,2,1,270.4,23308515,649687258,0,1PATH
wlb,off,2,2,270.6,68259155,632866032,0,OK
wlb,off,2,3,273.2,38098919,652864815,0,OK
wlb,off,4,1,335.7,177000944,658870002,0,OK
wlb,off,4,2,287.5,113327161,607583723,0,OK
wlb,off,4,3,318.3,176655542,623774647,0,OK
wlb,off,8,1,323.0,171500809,639871815,0,OK
wlb,off,8,2,314.8,136907706,658647568,0,OK
wlb,off,8,3,314.4,133305155,648307207,0,OK
wlb,off,16,1,325.6,181791683,630417324,0,OK
wlb,off,16,2,333.1,177663405,658060627,0,OK
wlb,off,16,3,332.4,181750380,654072327,0,OK
wlb,on,1,1,324.3,174010455,588742303,2,OK
wlb,on,1,2,338.2,174049128,621564257,2,OK
wlb,on,1,3,319.0,172834103,586454983,2,OK
wlb,on,2,1,353.7,177160170,665076815,3,OK
wlb,on,2,2,348.6,175591029,651442537,3,OK
wlb,on,2,3,347.2,175109113,657260792,3,OK
wlb,on,4,1,350.5,178298750,668973187,5,OK
wlb,on,4,2,354.8,178232172,670584065,5,OK
wlb,on,4,3,356.9,177937718,668201833,5,OK
wlb,on,8,1,356.6,178666868,672195585,9,OK
wlb,on,8,2,355.0,178903031,672327729,9,OK
wlb,on,8,3,356.1,179243369,672727422,9,OK
wlb,on,16,1,353.8,180188227,671786442,17,OK
wlb,on,16,2,353.9,180060349,672968175,17,OK
wlb,on,16,3,354.6,179963992,671298484,17,OK
