cond,arm,rep,sessions,disconnects,dead_air_s,max_gap_s,ttr_s,max_lag_s,ingest_mbps
R1,direct-a,1,1,0,1.3,1.3,NA,16.9,5.68
R1,mqvpn-hybrid,1,1,0,0.0,0.0,NA,0.9,7.82
R1,mqvpn-datagram,1,1,0,1.3,1.3,NA,1.1,8.00
R1,direct-a,2,1,0,1.3,1.3,NA,16.8,5.68
R1,mqvpn-hybrid,2,1,0,0.0,0.0,NA,0.9,7.82
R1,mqvpn-datagram,2,1,0,1.3,1.3,NA,2.7,8.04
R1,direct-a,3,1,0,1.3,1.3,NA,16.8,5.69
R1,mqvpn-hybrid,3,1,0,0.0,0.0,NA,0.9,7.82
R1,mqvpn-datagram,3,1,0,1.3,1.3,NA,1.1,7.99
R2,direct-a,1,2,1,39.9,10.2,NA,43.0,0.89
R2,mqvpn-hybrid,1,1,0,1.0,1.0,NA,1.0,7.94
R2,mqvpn-datagram,1,1,0,34.3,3.6,NA,55.6,0.77
R2,direct-a,2,10,9,53.9,40.6,NA,25.1,0.98
R2,mqvpn-hybrid,2,1,0,1.0,1.0,NA,1.0,7.95
R2,mqvpn-datagram,2,1,0,7.7,2.8,NA,14.0,7.22
R2,direct-a,3,3,2,37.4,11.0,NA,38.4,0.89
R2,mqvpn-datagram,3,1,0,1.0,1.0,NA,0.8,7.91
R3,direct-a,1,10,9,34.3,30.5,30.7,9.9,8.06
R3,mqvpn-hybrid,1,1,0,1.0,1.0,NA,0.9,8.05
R3,mqvpn-datagram,1,1,0,1.3,1.3,NA,1.0,8.10
R3,direct-a,2,9,8,32.5,30.2,30.4,11.0,8.02
R3,mqvpn-hybrid,2,1,0,1.0,1.0,NA,0.9,8.05
R3,mqvpn-datagram,2,1,0,1.3,1.3,NA,1.0,8.10
R3,direct-a,3,10,9,34.8,30.5,30.7,10.4,8.06
R3,mqvpn-hybrid,3,1,0,1.0,1.0,NA,0.9,8.05
R3,mqvpn-datagram,3,1,0,1.3,1.3,NA,1.0,8.10
R2,mqvpn-hybrid,3,1,0,1.0,1.0,NA,1.0,7.93
